Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
Jet Impulse,Simulation,,DS,Unknown,Nintendo,,,,0.02,2008,/games/boxart/full_8943016JapanFrontccc.jpg,0.002708228953675768
Triggerheart Exelica,Shooter,,DC,Warashi,Warashi Inc.,,,,0.02,2007,/games/boxart/full_9011595JapanFrontccc.jpg,0.0030951607162202264
Rewrite,Adventure,,PSV,Prototype,Key,,,,0.02,2014,/games/boxart/full_5924523JapanFrontccc.jpg,0.004523658735185026
Assetto Corsa,Racing,E,XOne,505 Games,Kunos Simulazioni,,6.0,,0.02,2016,/games/boxart/full_9689265AmericaFrontccc.jpg,0.005917334832391521
Games Explosion!,Action,E,GBA,THQ,FrontLine Studios,,4.0,,0.02,2006,/games/boxart/full_2050427AmericaFrontccc.jpg,0.0039298135303480084
Pharaonic,Action,M,PS4,Soedesco,Milkstone Studios,,,,0.02,2017,/games/boxart/full_6776409AmericaFrontccc.jpg,0.005459111256687445
Tennis no Oji-Sama: Card Hunter,Strategy,,PS2,Konami,WinkySoft,,,,0.02,2007,/games/boxart/full_tennis-no-oji-sama-card-hunter_516JapanFront.jpg,0.0030951607162202264
GRIP: Combat Racing,Racing,E10,NS,U&I Entertainment,Caged Element,,,,0.02,2018,/games/boxart/full_3394357AmericaFrontccc.jpg,0.007973845785822498
Night Wizard the Video Game: Denial of the World,Adventure,,PS2,5pb,5pb. Games,,,,0.02,2008,/games/boxart/full_90064JapanFrontccc.jpg,0.002708228953675768
Portable Island: Tenohira Resort,Simulation,,PSP,Namco Bandai,Bandai Namco Games,,,,0.02,2006,/games/boxart/full_7267378JapanFrontccc.jpg,0.0039298135303480084
Sengoku Efuda Yuugi: Hototogisu Ran,Misc,,PSP,Irem Software Engineering,Irem Software Engineering,,,,0.02,2008,/games/boxart/full_1909784JapanFrontccc.jpg,0.002708228953675768
WRC 6,Racing,,PC,PQube,Bigben Interactive,,,,0.02,2016,/games/boxart/full_5135787PALFrontccc.jpg,0.005917334832391521
Enemy Territory: Quake Wars,Shooter,T,PC,Activision,Splash Damage,,,,0.02,2007,/games/boxart/4520891ccc.jpg,0.0030951607162202264
Tokyo Friend Park II DS,Misc,,DS,Rocket Company,Rocket Company,,,,0.02,2006,/games/boxart/full_97576JapanFrontccc.jpg,0.0039298135303480084
Adventure Time: The Secret of the Nameless,Action-Adventure,E10,3DS,Little Orbit,Way Forward Technologies,,,,0.02,2014,/games/boxart/full_3000813AmericaFrontccc.jpg,0.004523658735185026
Hitotsu Tobashi Renai V,Adventure,,PSV,Kaga Create,Alchemist,,,,0.02,2015,/games/boxart/full_868029JapanFrontccc.jpg,0.005311520688373105
Kao the Kangaroo Round 2,Platform,E,PS2,Atari,Tate Interactive,,,,0.02,2006,/games/boxart/748323ccc.jpg,0.0039298135303480084
Star Trek: Legacy,Simulation,E10,PC,Bethesda Softworks,Mad Doc Software,,5.3,,0.02,2006,/games/boxart/full_9434904AmericaFrontccc.jpg,0.0039298135303480084
Robopon 2: Ring Version,Role-Playing,E,GBA,Atlus,RED Entertainment,,,,0.02,2002,/games/boxart/full_4630150AmericaFrontccc.jpg,0.0051396705471179515
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,Adventure,,PSP,Idea Factory,Idea Factory,,,,0.02,2010,/games/boxart/full_shin-hisui-no-shizuku-hiiro-no-kakera-2-portable_0JapanFront.jpg,0.002924789049589836
Le Tour de France 2017,Simulation,,XOne,Focus Home Interactive,Cyanide Studio,,,,0.02,2017,/games/boxart/full_1155044PALFrontccc.jpg,0.005459111256687445
Dragon Tales: Dragon Adventures,Platform,E,GBA,NewKidCo,Handheld Games,,,,0.02,2004,/games/boxart/555942ccc.jpg,0.004338677137340836
Dream Dancer,Misc,E,DS,Unknown,Unknown,,,,0.02,2004,/games/boxart/full_8021317AmericaFrontccc.jpg,0.004338677137340836
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,Adventure,,PSP,System Soft,System Soft Alpha,,,,0.02,2008,/games/boxart/full_3180303JapanFrontccc.jpg,0.002708228953675768
Powerbike,Racing,E,DS,Majesco,Tornado Studios,,,,0.02,2009,/games/boxart/full_7356028AmericaFrontccc.jpg,0.002839900603478895
Tokyo Clanpool,Role-Playing,,PSV,Compile Heart,Compile Heart,,,,0.02,2017,/games/boxart/full_6948307JapanFrontccc.jpg,0.005459111256687445
Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,Role-Playing,,PSP,Gust,Gust,,,,0.02,2011,/games/boxart/full_violet-no-atelier-gramnad-no-renkinjutsushi-2-gunjou-no-omoide_390JapanFront.jpg,0.0031229505636925945
Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,Role-Playing,,DS,Starfish,Starfish SD,,,,0.02,2010,/games/boxart/full_649823JapanFrontccc.jpg,0.002924789049589836
Gaku ? Ou: The Royal Seven Stars,Misc,,PSP,Alchemist,Unknown,,,,0.02,2013,/games/boxart/default.jpg,0.004317882510416908
Online Chess Kingdoms,Misc,E,PSP,Konami,Konami,,,,0.02,2006,/games/boxart/1482795ccc.jpg,0.0039298135303480084
Rayman 10th Anniversary,Platform,E,GBA,Ubisoft,Ubisoft,,,,0.02,2005,/games/boxart/2624010ccc.jpg,0.004318441906160286
Achtung Panzer: Kharkov 1943,Strategy,,PC,Paradox Interactive,Paradox Interactive,,,,0.02,2010,/games/boxart/full_achtung-panzer-kharkov-1943_894AmericaFront.jpg,0.002924789049589836
Crayola Scoot,Sports,E,XOne,Outright Games,Outright Games,,,,0.02,2018,/games/boxart/full_4710408AmericaFrontccc.jpg,0.007973845785822498
Dance! It's Your Stage,Misc,E10,Wii,Unknown,Sproing Interactive Media GMBH,,,,0.02,2018,/games/boxart/full_dance-its-your-stage_365PALFront.jpg,0.007973845785822498
RollerCoaster Tycoon: Gold Edition,Strategy,E,PC,Infogrames,Infogrames,,,,0.02,2002,/games/boxart/full_57764AmericaFrontccc.jpg,0.0051396705471179515
Gears of War,Shooter,M,PC,Microsoft Game Studios,Epic Games,,8.8,,0.02,2007,/games/boxart/3533297ccc.jpg,0.0030951607162202264
Lock's Quest,Strategy,E10,XOne,THQ Nordic,5TH Cell,,,,0.02,2017,/games/boxart/full_4155371AmericaFrontccc.jpg,0.005459111256687445
White Day: A Labyrinth Named School (2017),Action,T,PS4,PQube,ROIGAMES Inc.,,,,0.02,2017,/games/boxart/full_4598536AmericaFrontccc.jpg,0.005459111256687445
Race Driver: Create & Race,Racing,E,DS,Codemasters,Firebrand Games,,,,0.02,2007,/games/boxart/full_3696918AmericaFrontccc.jpg,0.0030951607162202264
Storm Lover Kai!!,Misc,,PSP,D3Publisher,Unknown,,,,0.02,2012,/games/boxart/default.jpg,0.00499475550671797
Minna to Issho,Misc,,PSV,Sony Computer Entertainment,Sony Computer Entertainment,,,,0.02,2011,/games/boxart/default.jpg,0.0031229505636925945
Nurarihyon no Mago: Hyakki Ryouran Taisen,Fighting,,PS3,Konami,Konami,,,,0.02,2011,/games/boxart/full_nurarihyon-no-mago-hyakki-ryouran-taisen_142JapanFront.jpg,0.0031229505636925945
LEGO Star Wars II: The Original Trilogy,Action,E10,PC,LucasArts,Traveller's Tales,,8.3,,0.02,2006,/games/boxart/full_8306309AmericaFrontccc.jpg,0.0039298135303480084
A Vampyre Story,Adventure,E10,PC,The Adventure Company,Autumn Moon Entertainment,,,,0.02,2008,/games/boxart/full_4992356AmericaFrontccc.jpg,0.002708228953675768
Enkaku Sousa: Sana e no 23 Hiai,Adventure,,PSP,Sony Computer Entertainment,Media.Vision,,,,0.02,2009,/games/boxart/full_3344888JapanFrontccc.jpg,0.002839900603478895
Hummer Badlands,Racing,E,XB,Global Star Software,Eutechnyx,,,,0.02,2006,/games/boxart/6709763ccc.jpg,0.0039298135303480084
Syberia II,Adventure,T,PC,The Adventure Company,Microids,,7.5,,0.02,2004,/games/boxart/full_5550963AmericaFrontccc.jpg,0.004338677137340836
Katekyoo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,Action,,DS,Takara Tomy,Takara Tomy,,,,0.02,2008,/games/boxart/full_6171623JapanFrontccc.jpg,0.002708228953675768
Majesty 2 Collection,Strategy,T,PC,Paradox Interactive,1C:Ino-Co,,,,0.02,2011,/games/boxart/full_majesty-2-collection_833AmericaFront.jpg,0.0031229505636925945
Iron Soldier 3,Simulation,T,PS,Vatical Entertainment,Eclipse Software,,,,0.02,2000,/games/boxart/full_iron-soldier-3_10AmericaFront.jpg,0.00774863430320406
Oyaku de Asoberu DS Ehon: Ukkari Penelope,Simulation,,DS,Tecmo,Tecmo,,,,0.02,2008,/games/boxart/full_4854446JapanFrontccc.jpg,0.002708228953675768
SNK Heroines Tag Team Frenzy,Fighting,T,PS4,NIS America,SNK Corporation,,,,0.02,2018,/games/boxart/full_3364713JapanFrontccc.jpg,0.007973845785822498
Durarara!! Relay,Action,,PSV,Kadokawa Games,Unknown,,,,0.02,2015,/games/boxart/full_1742391JapanFrontccc.jpg,0.005311520688373105
Post Mortem,Adventure,M,PC,The Adventure Company,Microids,,,,0.02,2003,/games/boxart/full_1176263AmericaFrontccc.jpg,0.004960809604127412
Sniper Elite,Shooter,M,PC,Namco,Rebellion Developments,,7.4,,0.02,2005,/games/boxart/full_8904799AmericaFrontccc.jpg,0.004318441906160286
UNO 52,Misc,E,DS,DSI Games,Black Lantern Studios,,,,0.02,2006,/games/boxart/full_uno-52_174AmericaFront.jpg,0.0039298135303480084
Tiger & Bunny: Hero's Day,Misc,,PSP,D3Publisher,Unknown,,,,0.02,2013,/games/boxart/default.jpg,0.004317882510416908
Tokyo Tattoo Girls,Strategy,,PSV,NIS America,Sushi Typhoon Games,,,,0.02,2017,/games/boxart/full_4785496AmericaFrontccc.jpg,0.005459111256687445
Dakar 18,Racing,,XOne,Deep Silver,Bigmoon Entertainment,,,,0.02,2018,/games/boxart/full_3249205PALFrontccc.jpg,0.007973845785822498
Wall-E,Platform,E,PC,THQ,Heavy Iron Studios,,,,0.02,2008,/games/boxart/4231920ccc.jpg,0.002708228953675768
Accel World: Kasoku no Chouten,Adventure,,PS3,Namco Bandai Games,Bandai Namco Games,,,,0.02,2013,/games/boxart/full_5731114JapanFrontccc.jpg,0.004317882510416908
Pachinko Kaou: Misora Hibari,Misc,,PS2,Hackberry,Hack Berry,,,,0.02,2007,/games/boxart/full_pachinko-hana-oh-misora-hibari_9JapanFront.jpg,0.0030951607162202264
Poupee Girl DS,Misc,,DS,Alvion,Alvion Inc.,,,,0.02,2009,/games/boxart/full_2319815JapanFrontccc.jpg,0.002839900603478895
Harukanaru Toki no Naka de 6: Gentou Rondo,Adventure,,PSV,Tecmo Koei,Unknown,,,,0.02,2016,/games/boxart/full_7214618JapanFrontccc.jpg,0.005917334832391521
Rapala Fishing Pro Series,Simulation,E,NS,GameMill Entertainment,"Concrete Software, Inc.",,,,0.02,2018,/games/boxart/full_2005849AmericaFrontccc.jpg,0.007973845785822498
Choro Q,Racing,E,PS2,Atlus,Takara,,,,0.02,2004,/games/boxart/571496ccc.jpg,0.004338677137340836
Just Cause,Action,M,PS2,Eidos Interactive,Avalanche Studios,,6.9,,0.02,2006,/games/boxart/4810869ccc.jpg,0.0039298135303480084
Colin McRae Rally 2005,Racing,E,PC,Codemasters,Codemasters,,,,0.02,2004,/games/boxart/full_4218755AmericaFrontccc.jpg,0.004338677137340836
Germany's Next Topmodel 2011,Simulation,,DS,7G//AMES,SevenOne Intermedia GmbH,,,,0.02,2011,/games/boxart/full_germanys-next-topmodel-2011_97PALFront.jpg,0.0031229505636925945
